id,price
0,6.138
1,8.634
2,9.769
3,7.789
4,7.994
5,8.056
6,7.067
7,7.088
8,6.479
9,6.815
10,9.647
11,7.089
12,8.248
13,8.108
14,6.361
15,7.258
16,7.927
17,6.265
18,9.434
19,9.093
20,7.127
21,8.531
22,9.572
23,6.702
24,9.393
25,7.444
26,7.131
27,9.637
28,7.836
29,8.518
30,6.682
31,8.233
32,8.382
33,6.515
34,9.83
35,8.615
36,9.189
37,7.729
38,9.557
39,9.597
40,9.02
41,8.698
42,7.159
43,8.305
44,6.977
45,6.564
46,6.138
47,9.255
48,8.762
49,8.798
50,7.623
51,6.956
52,7.826
53,7.755
54,7.009
55,6.973
56,8.84
57,9.4
58,6.579
59,6.851
60,7.353
61,8.514
62,6.528
63,8.081
64,8.114
65,7.401
66,9.417
67,7.863
68,7.669
69,7.857
70,9.358
71,6.506
72,6.56
73,7.998
74,6.51
75,6.39
76,6.718999999999999
77,9.25
78,6.891
79,7.119
80,7.956
81,6.76
82,7.653
83,6.582
84,8.524
85,6.286
86,7.236
87,6.746
88,8.03
89,8.237
90,6.409
91,8.535
92,7.184
93,6.548
94,9.232
95,7.756
96,6.64
97,8.236
98,6.775
99,6.815
100,8.805
101,6.565
102,6.809
103,9.15
104,9.346
105,8.341
106,8.595
107,8.216
108,6.736
109,6.809
110,7.261
111,8.724
112,9.564
113,6.438
114,7.381
115,6.465
116,9.136
117,7.635
118,6.905
119,8.383
120,7.464
121,6.033
122,7.977
123,8.28
124,8.505
125,7.874
126,6.263
127,8.806
128,8.714
129,8.512
130,8.324
131,6.594
132,8.123
133,6.314
134,6.775
135,9.161
136,8.041
137,7.667
138,8.298
139,7.643
140,8.747
141,7.447
142,8.616
143,7.014
144,6.51
145,8.692
146,9.81
147,6.956
148,6.984
149,7.536
150,6.848
151,8.663
152,7.95
153,7.391
154,7.635
155,7.824
156,5.999
157,9.267
158,6.384
159,6.569
160,7.699
161,6.314
162,7.728
163,6.412
164,6.892
165,6.958
166,8.438
167,8.038
168,6.28
169,8.38
170,7.516
171,8.425
172,8.518
173,8.795
174,8.84
175,6.95
176,6.111
177,6.324
178,7.606
179,6.56
180,8.59
181,7.063
182,7.14
183,7.216
184,8.772
185,7.027
186,6.732
187,9.206
188,6.163
189,6.192
190,6.109
191,8.893
192,7.8305
193,7.949
194,9.46
195,9.062
196,8.3
197,6.127
198,7.486
199,8.666
200,8.598
201,6.361
202,6.103
203,9.102
204,8.384
205,6.603
206,8.124
207,6.489
208,6.324
209,9.488
