id,price
0,6.068
1,8.572
2,9.517
3,7.789
4,8.898
5,8.133
6,7.067
7,7.088
8,6.315
9,6.815
10,9.683
11,7.378
12,8.248
13,8.311
14,6.501
15,7.104
16,7.837
17,6.265
18,9.329
19,9.023
20,6.65
21,8.959
22,9.577
23,6.935
24,9.265
25,7.255
26,7.102
27,9.814
28,8.195
29,8.57
30,6.892
31,8.384
32,8.364
33,6.292
34,9.805
35,8.489
36,9.156
37,7.729
38,9.63
39,9.597
40,9.096
41,8.359
42,7.124
43,8.509
44,7.396
45,6.133
46,6.168
47,9.411
48,8.805
49,8.313
50,7.467
51,7.064
52,7.691
53,7.746
54,6.987
55,7.009
56,9.09
57,9.411
58,6.802
59,7.029
60,7.372
61,8.514
62,6.848
63,7.76
64,8.075
65,7.579
66,9.417
67,7.807
68,7.763
69,8.033
70,9.573
71,6.522
72,6.56
73,7.989
74,6.443
75,6.661
76,6.775
77,9.136
78,6.775
79,7.447
80,7.956
81,6.528
82,8.209
83,6.984
84,8.349
85,6.356
86,7.131
87,6.746
88,8.036
89,8.134
90,6.409
91,8.6
92,7.268
93,6.579
94,9.224
95,8.127
96,6.64
97,7.96
98,6.823
99,6.564
100,8.798
101,6.5649999999999995
102,6.809
103,9.364
104,9.648
105,8.442
106,8.201
107,8.035
108,6.593
109,6.477
110,7.582
111,8.724
112,9.775
113,6.438
114,7.47
115,6.515
116,9.118
117,7.767
118,6.905
119,8.383
120,7.363
121,6.405
122,8.018
123,8.28
124,8.488
125,7.856
126,6.168
127,8.657
128,8.714
129,8.504
130,8.324
131,6.731
132,8.134
133,6.314
134,6.8
135,9.521
136,8.076
137,7.778
138,8.132
139,7.431
140,8.497
141,7.512
142,8.548
143,6.974
144,6.51
145,8.692
146,9.669
147,6.956
148,6.841
149,7.536
150,6.815
151,8.648
152,7.885
153,7.498
154,7.78
155,7.787
156,5.999
157,9.267
158,6.133
159,6.766
160,7.957
161,6.317
162,7.728
163,6.412
164,7.145
165,6.75
166,8.226
167,7.861
168,6.299
169,8.306
170,7.596
171,8.425
172,8.813
173,8.77
174,8.489
175,7.122
176,6.314
177,6.443
178,7.575
179,6.848
180,8.443
181,6.735
182,7.074
183,7.407
184,8.745
185,7.102
186,6.454
187,8.6
188,6.016
189,6.192
190,6.109
191,8.613
192,7.842
193,7.949
194,9.591
195,9.072
196,8.3
197,6.127
198,7.435
199,8.677
200,8.795
201,6.501
202,6.136
203,8.707
204,8.392
205,6.633
206,8.085
207,6.489
208,6.351
209,9.651
210,8.625
211,9.366
212,8.352
213,6.767
214,8.041
215,6.905
216,6.763
217,7.668
218,7.438
219,6.404
220,6.579
221,7.271
222,8.197
223,7.519
224,6.118
225,9.165
226,6.384
227,7.838
228,6.043
229,9.786
230,8.238
231,8.821
232,6.715
233,8.909
234,8.318
235,8.77
236,6.184
237,9.616
238,9.343
239,9.677
240,6.65
241,6.96
242,7.076
243,7.895
244,9.135
245,6.489
